_id,employeeId,firstName,lastName,personalEmail,designation,joiningDate,isActive,createdAt,updatedAt,__v,department,phone,bankDetails.bankName,bankDetails.accountNumber,bankDetails.ifscCode,taxInfo.pan
691a100a60d495fe5f1fd6c0,HR001,Admin,User,ashwinjenu2002@gmail.com,HR Manager,2025-11-16T17:55:22.444Z,true,2025-11-16T17:55:22.448Z,2025-11-16T17:55:22.448Z,0,,,,,,
691a11d8b2bb4a5505fa3fe9,EMP001,Kade,Gutkowski,Kade_Gutkowski75@yahoo.com,Product Directives Designer,2025-07-11T16:56:41.972Z,true,2025-11-16T18:03:04.349Z,2025-11-16T18:03:04.349Z,0,Shoes,5866111171,"Nienow, Botsford and Goyette Bank",650602647973,UGZW006ZT3Y,YDBNT5942U
691a11d8b2bb4a5505fa3ff3,EMP002,Yasmeen,Watsica-Gerhold,Yasmeen_Watsica-Gerhold3@gmail.com,Senior Intranet Orchestrator,2021-03-13T19:13:10.092Z,true,2025-11-16T18:03:04.752Z,2025-11-16T18:03:04.752Z,0,Grocery,1419650766,Pagac - Schmeler Bank,969961120293,KQHA001F9U6,YATKZ8534E
691a11d9b2bb4a5505fa3ffd,EMP003,Liam,Ferry,Liam.Ferry@hotmail.com,National Assurance Executive,2024-03-24T12:50:25.931Z,true,2025-11-16T18:03:05.041Z,2025-11-16T18:03:05.041Z,0,Games,6617020730,Wolff LLC Bank,690153024254,QXLF0U92HZN,INYPL7590X
691a11d9b2bb4a5505fa4007,EMP004,Adele,Greenfelder,Adele_Greenfelder6@gmail.com,Product Infrastructure Strategist,2021-02-01T06:55:30.860Z,true,2025-11-16T18:03:05.362Z,2025-11-16T18:03:05.362Z,0,Toys,7242735056,Mills - Ruecker Bank,212109719573,ANTI0T183PJ,RYULX9815I
691a11d9b2bb4a5505fa4011,EMP005,Nannie,Corkery,Nannie.Corkery@yahoo.com,Legacy Web Associate,2022-01-07T14:10:35.300Z,true,2025-11-16T18:03:05.668Z,2025-11-16T18:03:05.668Z,0,Garden,6178454880,McCullough - Barrows Bank,412266606390,VQQX0402Q95,IPCME3782V
691a11d9b2bb4a5505fa401b,EMP006,Philip,Marks,Philip.Marks@gmail.com,Principal Communications Specialist,2023-09-16T11:59:40.978Z,true,2025-11-16T18:03:05.982Z,2025-11-16T18:03:05.982Z,0,Books,8118448710,Steuber - Von Bank,769461072991,RPLK0910391,EOJYH3352S
691a11dab2bb4a5505fa4025,EMP007,Candelario,Spencer,Candelario_Spencer@gmail.com,Principal Factors Analyst,2022-12-10T05:41:45.333Z,true,2025-11-16T18:03:06.267Z,2025-11-16T18:03:06.267Z,0,Garden,6912714347,"Kuhic, Zieme and Rodriguez Bank",861158107493,YYGK0H9APWO,NFWPJ1546S
691a11dab2bb4a5505fa402f,EMP008,Jayde,Ratke,Jayde.Ratke@yahoo.com,Legacy Metrics Strategist,2022-12-27T12:32:55.134Z,true,2025-11-16T18:03:06.592Z,2025-11-16T18:03:06.592Z,0,Toys,1908605954,O'Connell and Sons Bank,471376433830,LPRA04V9C73,WEZAC7247Y
691a11dab2bb4a5505fa4039,EMP009,Florine,Veum,Florine.Veum@yahoo.com,Forward Mobility Manager,2024-12-31T09:21:12.602Z,true,2025-11-16T18:03:06.898Z,2025-11-16T18:03:06.898Z,0,Automotive,9677517334,Wisozk - Dickens Bank,207279156302,KIZZ0W2ROWS,YEBCA6119D
691a11dbb2bb4a5505fa4043,EMP010,Frederik,Halvorson,Frederik.Halvorson@hotmail.com,Regional Accountability Developer,2022-02-13T11:26:15.689Z,true,2025-11-16T18:03:07.205Z,2025-11-16T18:03:07.205Z,0,Books,8896087776,"Ondricka, Reinger and Nikolaus Bank",942670006765,GUQH0SOR72D,FQDMU1065D
691a11dbb2bb4a5505fa404d,EMP011,Pablo,Crist,Pablo.Crist1@hotmail.com,Senior Research Agent,2020-12-07T08:56:48.967Z,true,2025-11-16T18:03:07.483Z,2025-11-16T18:03:07.483Z,0,Baby,3377710731,McKenzie - Goyette Bank,264981496356,UYQZ08N5AGH,YAQKE8550C
